,0,1,2,3,4,5,6
0,11 Comae Berenices b,305,19.4 Jupiters,4.74,2007,326 days,0.23
1,11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009,1.4 years,0.08
2,14 Andromedae b,247,4.8 Jupiters,5.227,2008,185.8 days,0.0
3,14 Herculis b,59,4.66 Jupiters,6.61,2002,4.9 years,0.37
4,16 Cygni B b,69,1.78 Jupiters,6.25,1996,2.2 years,0.68
5,18 Delphini b,249,10.3 Jupiters,5.506,2008,2.7 years,0.08
6,1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008,6505.9 years,0.0
7,24 Bootis b,314,0.91 Jupiters,5.58,2018,30.4 days,0.04
8,24 Sextantis b,236,1.99 Jupiters,6.441,2010,452.8 days,0.09
9,24 Sextantis c,236,0.86 Jupiters,6.441,2010,2.4 years,0.29
10,2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013,1767.2 years,0.0
11,2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013,593.2 years,0.0
12,2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015,5878.1 years,0.0
13,2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010,411 years,0.0
14,2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004,2207.3 years,0.0
15,2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015,416 days,0.0
16,2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009,20.1 years,0.26
17,2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016,4505.7 years,0.0
18,30 Arietis B b,146,13.82 Jupiters,6.962,2009,335.1 days,0.29
19,42 Draconis b,296,3.88 Jupiters,4.82,2008,479.1 days,0.38
20,47 Ursae Majoris b,45,2.53 Jupiters,5.05,1996,3 years,0.03
21,47 Ursae Majoris c,45,0.54 Jupiters,5.05,2001,6.6 years,0.1
22,47 Ursae Majoris d,45,1.64 Jupiters,5.05,2009,38.4 years,0.16
23,4 Ursae Majoris b,240,7.1 Jupiters,4.61,2006,269.3 days,0.43
24,51 Eridani b,96,2 Jupiters,5.23,2015,32 years,0.45
25,51 Pegasi b,50,0.46 Jupiters,5.5,1995,4.2 days,0.01
26,55 Cancri b,41,0.8306 Jupiters,5.96,1996,14.7 days,0.0
27,55 Cancri c,41,0.1714 Jupiters,5.96,2004,44.4 days,0.02
28,55 Cancri d,41,3.878 Jupiters,5.96,2002,13.2 years,0.02
29,55 Cancri e,41,8.08 Earths,5.96,2004,0.7 days,0.03
30,55 Cancri f,41,0.141 Jupiters,5.96,2007,262 days,0.31
31,61 Virginis b,28,5.1 Earths,4.74,2009,4.2 days,0.12
32,61 Virginis c,28,18.2 Earths,4.74,2009,38 days,0.14
33,61 Virginis d,28,22.9 Earths,4.74,2009,123 days,0.35
34,6 Lyncis b,179,2.01 Jupiters,5.86,2008,2.6 years,0.07
35,70 Virginis b,58,7.49 Jupiters,4.97,1996,116.7 days,0.4
36,75 Ceti b,271,3 Jupiters,5.35,2012,1.9 years,0.12
37,7 Canis Majoris b,65,1.85 Jupiters,3.92,2011,2 years,0.06
38,7 Canis Majoris c,65,0.87 Jupiters,3.92,2019,2.7 years,0.08
39,81 Ceti b,331,5.3 Jupiters,5.65,2008,2.6 years,0.21
40,8 Ursae Minoris b,533,1.31 Jupiters,6.83,2015,93.4 days,0.06
41,91 Aquarii b,144,3.2 Jupiters,4.25,2013,181.4 days,0.03
42,AB Pictoris b,163,13.5 Jupiters,9.128,2005,4421.7 years,0.0
43,Alpha Arietis b,66,1.8 Jupiters,2,2010,380.8 days,0.25
44,Alpha Tauri b,67,6.47 Jupiters,0.85,2015,1.7 years,0.1
45,AU Microscopii b,32,0.18 Jupiters,8.81,2020,8.5 days,0.1
46,BD+03 2562 b,8540,6.4 Jupiters,9.58,2017,481.9 days,0.2
47,BD-06 1339 b,66,8.5 Earths,9.7,2013,3.9 days,0.0
48,BD-06 1339 c,66,0.17 Jupiters,9.7,2013,125.9 days,0.31
49,BD-08 2823 b,135,12.7132 Earths,9.88,2009,5.6 days,0.15
50,BD-08 2823 c,135,0.33 Jupiters,9.88,2009,237.6 days,0.19
51,BD-10 3166 b,276,0.59 Jupiters,10.08,2000,3.5 days,0.02
52,BD-11 4672 b,89,0.65 Jupiters,9.99,2014,4.5 years,0.05
53,BD-11 4672 c,89,15.37 Earths,9.99,2020,74.2 days,0.4
54,BD-13 2130 b,3095,9.78 Jupiters,9.45,2007,2 years,0.21
55,BD+14 4559 b,161,1.04 Jupiters,9.63,2009,268.9 days,0.29
56,BD+15 2375 b,2525,1.061 Jupiters,10.31,2016,153.2 days,0.0
57,BD+15 2940 b,1408,1.11 Jupiters,9.046,2013,137.5 days,0.26
58,BD-17 63 b,113,5.1 Jupiters,9.566,2008,1.8 years,0.54
59,BD+20 2457 b,5450,55.59 Jupiters,9.75,2009,379.6 days,0.15
60,BD+20 2457 c,5450,12.47 Jupiters,9.75,2009,1.7 years,0.18
61,BD+20 274 b,4514,4.2 Jupiters,9.36,2012,1.6 years,0.21
62,BD+20 594 b,588,22.2481 Earths,11.038,2016,41.7 days,0.0
63,BD+48 738 b,2910,0.91 Jupiters,9.14,2011,392.6 days,0.2
64,BD+48 740 b,2215,1.7 Jupiters,8.699,2018,2 years,0.76
65,BD+49 828 b,1460,1.6 Jupiters,9.38,2015,7.1 years,0.35
66,Beta Cancri b,295,7.8 Jupiters,3.53,2014,1.7 years,0.08
67,Beta Pictoris b,64,11 Jupiters,3.85,2008,21 years,0.08
68,Beta Pictoris c,64,9 Jupiters,3.85,2019,3.3 years,0.24
69,Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014,1.4 years,0.19
70,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011,27.5 years,0.0
71,CHXR 73 b,623,12.569 Jupiters,17.293,2006,5146.9 years,0.0
72,CI Tauri b,515,11.6 Jupiters,12.939,2019,9 days,0.25
73,CoRoT-10 b,1125,2.75 Jupiters,15.22,2010,13.2 days,0.53
74,CoRoT-11 b,1827,2.33 Jupiters,12.939,2010,3 days,0.0
75,CoRoT-12 b,3751,0.917 Jupiters,15.515,2010,2.8 days,0.07
